date, pm25, pm10, o3, no2, so2, co
2021/4/29, 42, 19, , 16, , 2
2021/4/30, 31, 14, , 11, , 2
2021/5/1, 25, 13, , 11, , 2
2021/5/2, 39, 18, , 13, 1, 2
2021/5/3, 52, 21, , 12, , 2
2021/5/4, 90, 40, , 28, 1, 6
2021/5/5, 100, 48, , 37, 1, 9
2021/5/6, 100, 49, , 35, 1, 7
2021/5/7, 111, 55, , 44, 1, 9
2021/5/8, 21, 8, , 11, , 2
2021/5/9, 26, 10, , 8, , 1
2021/5/10, 36, 14, , 9, , 2
2021/5/11, 49, 22, , 22, , 3
2021/5/12, 78, 39, , 29, , 5
2021/5/13, 37, 17, , 17, , 2
2021/5/14, 28, 10, , 11, , 1
2021/5/15, 38, 17, , 16, , 3
2021/5/16, 51, 22, , 18, , 4
2021/5/17, 59, 22, , 11, , 2
2021/5/18, 92, 40, , 33, 1, 8
2021/5/19, 52, 23, , 16, , 2
2021/5/20, 85, 39, , 37, , 8
2021/5/21, 114, 56, , 43, 1, 7
2021/5/22, 127, 58, , 49, 1, 9
2021/5/23, 74, 36, , 29, , 5
2021/5/24, 43, 16, , 14, , 3
2021/5/25, 64, 26, , 27, 1, 5
2021/5/26, 91, 46, , 43, 1, 7
2021/5/27, 99, 47, , 40, 1, 5
2021/5/28, 100, 49, , 38, 1, 8
2021/5/29, 118, 54, , 40, 1, 7
2021/5/30, 61, 37, , 21, , 6
2021/5/31, 60, 26, , 17, , 5
2021/6/1, 58, 21, , 23, , 4
2021/6/2, 58, 23, , 27, , 5
2021/6/3, 108, 47, , 42, 1, 8
2021/6/4, 99, 43, , 28, 1, 4
2021/6/5, 77, 35, , 31, , 6
2021/6/6, 88, 40, , 31, , 7
2021/6/7, 75, 35, , 22, , 4
2021/6/8, 49, 20, , 19, , 2
2021/6/9, 21, 9, , 16, , 2
2021/6/10, 54, 22, , 24, , 3
2021/6/11, 74, 31, , 26, , 6
2021/6/12, 56, 22, , 19, , 3
2021/6/13, 56, 22, , 15, , 4
2021/6/14, 36, 13, , 6, , 1
2021/6/15, 45, 21, , 20, , 2
2021/6/16, 71, 32, , 28, , 4
2021/6/17, 40, 17, , 13, , 1
2021/6/18, 27, 10, , 15, , 1
2021/6/19, 48, 22, , 21, , 3
2021/6/20, 54, 24, , 18, , 4
