date, pm25, pm10, o3, no2, so2, co
2021/8/23, 88, , 49, 24, , 5
2021/8/24, 108, , 48, 32, , 5
2021/8/25, 119, , 54, 32, , 6
2021/8/26, 117, , 53, 15, , 3
2021/8/27, 103, , 25, 5, , 1
2021/8/28, 31, , 20, 7, , 1
2021/8/29, 52, , 26, 4, , 1
2021/8/30, 77, , 23, 5, , 1
2021/8/31, 48, , 25, 5, , 1
2021/9/1, 48, , 28, 8, , 1
2021/9/2, 70, , 35, 16, , 2
2021/9/3, 68, , 45, 20, , 3
2021/9/4, 61, , 63, 20, , 4
2021/9/5, 100, , 51, 11, , 3
2021/9/6, 74, , 43, 8, , 2
2021/9/7, 74, , 38, 4, , 1
2021/9/8, 71, , 49, 15, , 4
2021/9/9, 100, , 28, 14, , 3
2021/9/10, 84, , 25, 16, , 3
2021/9/11, 93, , 31, 18, , 3
2021/9/12, 71, , 64, 13, , 3
2021/9/13, 111, , 50, 21, , 5
2021/9/14, 95, , 54, 17, , 3
2021/9/15, 106, , 25, 9, , 1
2021/9/16, 60, , 20, 6, , 1
2021/9/17, 32, , 22, 8, , 1
2021/9/18, 23, , 38, 11, , 2
2021/4/2, 31, , 24, 2, , 1
2021/4/3, 39, , 40, 5, , 1
2021/4/4, 50, , 27, 3, , 
2021/4/5, 41, , 26, 4, , 1
2021/4/6, 43, , 14, 10, , 1
2021/4/7, 68, , 23, 5, , 1
2021/4/9, 114, , 38, 11, , 1
2021/4/10, 45, , 43, 8, , 1
2021/4/11, 58, , 40, 9, , 2
2021/4/16, 48, , 34, 13, , 2
2021/4/17, 78, , 29, 9, , 2
2021/4/18, 62, , 27, 4, , 1
2021/4/19, 36, , 17, 4, , 1
2021/4/20, 30, , 16, 5, , 1
2021/4/21, 38, , 16, 3, , 1
2021/4/22, 42, , 15, 6, , 1
2021/4/23, 54, , 22, 6, , 1
2021/4/24, 43, , 36, 7, , 1
2021/4/25, 37, , 37, 8, , 1
2021/4/26, 54, , 29, 9, , 1
2021/4/27, 68, , 19, 7, , 1
2021/4/28, 54, , 32, 6, , 1
2021/4/29, 53, , 20, 5, , 1
2021/4/30, 47, , 19, 6, , 1
2021/5/1, 52, , 30, 6, , 1
2021/5/2, 82, , 36, 7, , 1
2021/5/3, 70, , 28, 16, , 2
2021/5/4, 73, , 35, 16, , 3
2021/5/5, 97, , 43, 25, , 6
2021/5/6, 92, , 43, 17, , 3
2021/5/7, 117, , 19, 5, , 1
2021/5/8, 55, , 18, 5, , 1
2021/5/9, 67, , 26, 4, , 1
2021/5/10, 69, , 25, 11, , 2
2021/5/11, 82, , 30, 15, , 3
2021/5/12, 79, , 15, 8, , 1
2021/5/13, 55, , 19, 6, , 1
2021/5/14, 28, , 19, 8, , 1
2021/5/15, 45, , 20, 9, , 2
2021/5/16, 58, , 33, 6, , 1
2021/5/17, 64, , 24, 15, , 3
2021/5/18, 64, , 23, 8, , 2
2021/5/19, 51, , 28, 16, , 3
2021/5/20, 69, , 40, 20, , 5
2021/5/21, 88, , 32, 24, , 5
2021/5/22, 109, , 14, 17, , 4
2021/5/23, 68, , 17, 4, , 1
2021/5/24, 33, , 19, 12, , 2
2021/5/25, 43, , 26, 33, , 7
2021/5/26, 93, , 30, 25, , 5
2021/5/27, 95, , 20, 23, , 6
2021/5/28, 85, , 28, 20, , 8
2021/5/29, 91, , 25, 8, , 4
2021/5/30, 73, , 18, 8, , 2
2021/5/31, 50, , 10, 11, , 2
2021/6/1, 53, , 21, 17, , 3
2021/6/2, 58, , 29, 22, , 5
2021/6/3, 98, , 35, 22, , 9
2021/6/4, 94, , 38, 12, , 3
2021/6/5, 79, , 28, 11, , 3
2021/6/6, 73, , 27, 13, , 5
2021/6/7, 79, , 19, 8, , 1
2021/6/8, 68, , 17, 8, , 1
2021/6/9, 32, , 20, 11, , 1
2021/6/10, 56, , 14, 14, , 2
2021/6/11, 76, , 11, 11, , 2
2021/6/12, 55, , 22, 10, , 3
2021/6/13, 40, , 27, 4, , 1
2021/6/14, 33, , 20, 9, , 1
2021/6/15, 52, , 26, 14, , 2
2021/6/16, 66, , 21, 6, , 1
2021/6/17, 40, , 20, 8, , 1
2021/6/18, 28, , 24, 12, , 1
2021/6/19, 51, , 16, 10, , 2
2021/6/20, 56, , 21, 6, , 4
2021/6/21, 67, , 26, 10, , 1
2021/6/22, 39, , 15, 14, , 2
2021/6/23, 49, , 19, 8, , 1
2021/6/24, 36, , 20, 14, , 4
2021/6/25, 56, , 18, 28, , 7
2021/6/26, 93, , 33, 17, , 4
2021/6/27, 81, , 32, 12, , 3
2021/6/28, 82, , 28, 13, , 3
2021/6/29, 61, , 15, 9, , 1
2021/6/30, 37, , 22, 11, , 1
2021/7/1, 39, , 23, 10, , 1
2021/1/5, 48, , 38, 9, , 1
2021/1/6, 53, , 32, 9, , 2
2021/1/7, 51, , 29, 6, , 1
2021/1/8, 52, , 29, 7, , 1
2021/1/9, 50, , 30, 6, , 1
2021/1/10, 60, , 31, 4, , 1
2021/1/11, 53, , 42, 7, , 1
2021/1/12, 57, , 46, 12, , 2
2021/1/13, 62, , 27, 6, , 1
2021/1/14, 31, , 33, 5, , 3
2021/1/15, 51, , 16, 14, , 2
2021/1/16, 36, , 29, 7, , 1
2021/1/17, 24, , 23, 3, , 1
2021/1/18, 24, , 39, 5, , 1
2021/1/19, 28, , 37, 7, , 1
2021/1/20, 31, , 44, 6, , 1
2021/1/21, 45, , 46, 7, , 1
2021/1/22, 46, , 66, 8, , 1
2021/1/23, 59, , 36, 7, , 1
2021/1/24, 47, , 31, 5, , 1
2021/1/25, 55, , 39, 6, , 1
2021/1/26, 45, , 29, 14, , 2
2021/1/27, 45, , 32, 10, , 1
2021/1/28, 48, , 35, 10, , 1
2021/1/29, 33, , 43, 15, , 3
2021/1/30, 55, , 48, 13, , 3
2021/1/31, 61, , 45, 5, , 1
2021/2/1, 48, , 31, 13, , 2
2021/2/2, 41, , 40, 16, , 3
2021/2/3, 45, , 56, 13, , 3
2021/2/4, 58, , 46, 8, , 1
2021/2/5, 55, , 20, 6, , 1
2021/2/6, 33, , 41, 4, , 1
2021/2/7, 41, , 24, 2, , 
2021/2/8, 36, , 22, 4, , 1
2021/2/9, 34, , 26, 4, , 1
2021/2/10, 34, , 31, 6, , 1
2021/2/11, 32, , 30, 12, , 2
2021/2/12, 41, , 22, 12, , 2
2021/2/13, 42, , 12, 8, , 2
2021/2/14, 37, , 25, 5, , 2
2021/2/15, 35, , 31, 7, , 1
2021/2/16, 36, , 30, 9, , 1
2021/2/17, 43, , 33, 13, , 2
2021/2/18, 45, , 34, 9, , 2
2021/2/19, 43, , 49, 8, , 1
2021/2/20, 48, , 40, 5, , 1
2021/2/21, 44, , 36, 3, , 1
2021/2/22, 39, , 37, 5, , 1
2021/2/23, 45, , 48, 9, , 1
2021/2/24, 51, , 57, 16, , 2
2021/2/25, 66, , 29, 10, , 1
2021/2/26, 49, , 19, 11, , 2
2021/2/27, 46, , 25, 7, , 1
2021/2/28, 36, , 24, 5, , 1
2021/3/1, 54, , 38, 9, , 1
2021/3/2, 48, , 37, 12, , 2
2021/3/3, 53, , 32, 8, , 1
2021/3/4, 46, , 28, 12, , 1
2021/3/5, 40, , 16, 7, , 1
2021/3/6, 43, , 16, 5, , 1
2021/3/7, 27, , 24, 6, , 1
2021/3/8, 37, , 31, 7, , 1
2021/3/9, 38, , 37, 9, , 1
2021/3/10, 47, , 31, 7, , 1
2021/3/11, 41, , 31, 9, , 2
2021/3/12, 44, , 25, 10, , 3
2021/3/13, 64, , 63, 6, , 1
2021/3/14, 57, , 48, 4, , 1
2021/3/15, 32, , 69, 9, , 2
2021/3/16, 55, , 61, 9, , 1
2021/3/17, 52, , 45, 10, , 2
2021/3/18, 48, , 23, 11, , 2
2021/3/19, 57, , 35, 9, , 1
2021/3/20, 44, , 44, 5, , 1
2021/3/21, 52, , 35, 6, , 1
2021/3/22, 47, , 42, 11, , 2
2021/3/23, 56, , 72, 7, , 1
2021/3/24, 50, , 44, 7, , 1
2021/3/25, 51, , 58, 7, , 1
2021/3/26, 45, , 66, 10, , 2
2021/3/27, 61, , 60, 8, , 1
2021/3/28, 53, , 41, 3, , 1
2021/3/29, 42, , 51, 11, , 2
2021/3/30, 52, , 33, 7, , 1
2021/3/31, 39, , 22, 5, , 5
2021/4/1, 43, , 24, 4, , 3
2020/10/2, 83, , 24, 20, , 6
2020/10/3, 93, , 48, 18, , 15
2020/10/4, 79, , 25, 2, , 1
2020/10/5, 26, , , , , 
