date, pm25, pm10, o3, no2, so2, co
2021/8/12, 65, 11, , 28, , 6
2021/8/13, 29, 16, , 29, , 8
2021/8/14, 42, 20, , 26, , 3
2021/8/15, 53, 25, , 19, , 6
2021/8/16, 65, 28, , 27, 1, 7
2021/8/17, 70, 37, , 42, 1, 10
2021/8/18, 72, 54, , 51, 1, 12
2021/8/19, 102, 49, , 48, 1, 11
2021/8/20, 95, 52, , 49, 2, 11
2021/8/21, 93, 56, , 49, 2, 14
2021/8/22, 109, 43, , 29, 1, 7
2021/8/23, 88, 51, , 46, 2, 10
2021/8/24, 108, 60, , 47, 2, 9
2021/8/25, 115, 64, , 48, 2, 9
2021/8/26, 119, 59, , 41, 1, 8
2021/8/27, 109, 20, , 30, , 7
2021/8/28, 41, 13, , 22, , 3
2021/8/29, 45, 12, , 23, , 7
2021/8/30, 36, 13, , 24, , 6
2021/8/31, 36, 16, , 21, , 
2021/9/1, 38, 19, , 24, 1, 
2021/9/2, 39, 27, , 32, 1, 
2021/9/3, 62, 40, , 41, 1, 
2021/9/4, 71, 38, , 43, 1, 
2021/9/5, 85, 28, , 26, , 
2021/9/6, 65, 26, , 34, , 
2021/9/7, 64, 20, , 19, , 
2021/9/8, 58, 51, , 35, 1, 
2021/9/9, 93, 26, , 30, , 
2021/9/10, 63, 27, , 35, , 
2021/9/11, 71, 28, , 33, 1, 
2021/9/15, 105, 31, , 34, , 
2021/9/16, 62, 14, , 27, , 
2021/9/17, 36, 18, , 29, , 
2021/9/18, 49, 31, , 25, , 
2021/9/19, 69, 40, , 33, 1, 
2021/9/20, 94, 43, , 39, , 
2021/9/21, 93, 40, , 41, 1, 
2021/9/22, 90, 18, , 29, , 
2021/9/23, 37, 20, , 27, , 
2021/9/24, 40, 31, , 31, 1, 
2021/9/25, 60, 31, , 34, 1, 
2021/9/26, 72, 34, , 23, 1, 
2021/9/27, 79, 45, , 48, 2, 
2021/9/28, 92, 37, , 44, 1, 
2021/9/29, 75, 36, , 39, 1, 
2021/9/30, 73, 22, , 31, , 
2021/10/1, 58, 22, , 29, , 
2021/4/2, 39, 13, , 17, , 3
2021/4/3, 30, 16, , 18, , 3
2021/4/4, 42, 12, , 13, , 2
2021/4/5, 30, 13, , 17, , 3
2021/4/6, 36, 17, , 19, , 4
2021/4/7, 39, 14, , 19, , 4
2021/4/8, 40, 14, , 16, 1, 3
2021/4/9, 31, 22, , 27, , 5
2021/4/10, 51, 19, , 25, , 4
2021/4/11, 47, 21, , 23, 1, 5
2021/4/12, 58, 33, , 31, 1, 7
2021/4/13, 62, 16, , 23, , 5
2021/4/14, 42, 18, , 19, 1, 4
2021/4/15, 36, 18, , 20, 1, 4
2021/4/16, 42, 29, , 25, 1, 6
2021/4/17, 61, 26, , 22, , 5
2021/4/18, 58, 12, , 18, , 4
2021/4/19, 37, 11, , 20, , 5
2021/4/20, 32, 13, , 22, , 6
2021/4/21, 36, 11, , 18, , 3
2021/4/22, 32, 16, , 22, , 6
2021/4/23, 40, 15, , 24, , 6
2021/4/24, 41, 13, , 24, , 2
2021/4/25, 40, 20, , 20, , 
2021/4/26, 54, 23, , 27, , 8
2021/4/27, 59, 18, , 26, , 6
2021/4/28, 51, 18, , 27, , 5
2021/4/29, 45, 16, , 26, , 6
2021/4/30, 42, 13, , 20, , 5
2021/5/1, 34, 15, , 18, 1, 4
2021/5/2, 39, 22, , 21, 1, 4
2021/5/3, 58, 31, , 31, 1, 7
2021/5/4, 76, 35, , 34, 1, 8
2021/5/5, 73, 51, , 51, 1, 13
2021/5/6, 109, 49, , 37, 1, 8
2021/5/7, 103, 10, , 23, , 6
2021/5/8, 29, 12, , 19, , 4
2021/5/9, 30, 14, , 16, 1, 4
2021/5/10, 36, 20, , 23, 1, 5
2021/5/11, 44, 35, , 32, 1, 6
2021/5/12, 73, 18, , 25, , 7
2021/5/13, 45, 12, , 24, , 5
2021/5/14, 33, 18, , 23, , 5
2021/5/15, 42, 19, , 21, 1, 5
2021/5/16, 51, 22, , 19, , 4
2021/5/17, 63, 28, , 31, , 8
2021/5/18, 69, 21, , 30, , 7
2021/5/19, 56, 32, , 35, , 8
2021/5/20, 71, 45, , 42, 1, 11
2021/5/21, 96, 47, , 42, 1, 10
2021/5/22, 97, 32, , 31, 1, 10
2021/5/23, 75, 14, , 11, , 4
2021/5/24, 37, 21, , 26, 1, 7
2021/5/25, 43, 44, , 55, 2, 13
2021/5/26, 93, 46, , 50, 1, 10
2021/5/27, 94, 41, , 43, 1, 13
2021/5/28, 92, 44, , 35, 1, 11
2021/5/29, 89, 33, , 21, , 7
2021/5/30, 60, 19, , 20, , 6
2021/5/31, 51, 17, , 23, , 7
2021/6/1, 49, 24, , 34, , 7
2021/6/2, 63, 38, , 42, 1, 13
2021/6/3, 87, 45, , 48, 1, 14
2021/6/4, 100, 31, , 27, 1, 6
2021/6/5, 73, 27, , 24, , 8
2021/6/6, 65, 34, , 27, 1, 10
2021/6/7, 79, 20, , 28, , 7
2021/6/8, 53, 15, , 30, , 8
2021/6/9, 44, 19, , 24, , 5
