date, pm25, pm10, o3, no2, so2, co
2021/9/18, 23, 30, 2, 9, , 
2021/9/19, 57, 18, 14, 17, 1, 
2021/9/20, 45, 26, , 9, , 
2021/9/21, 52, 26, 17, 13, , 
2021/9/22, 51, 19, 17, 7, , 
2021/9/23, 33, 21, 18, 7, , 
2021/9/24, 26, 32, 23, 8, , 
2021/9/25, 46, 28, 19, 12, 2, 
2021/9/26, 45, 30, 19, 10, , 
2021/9/27, 55, 34, 24, 12, 1, 
2021/9/28, 70, 33, 25, 11, 1, 
2021/9/29, 65, 25, 20, 15, 2, 
2021/9/30, 47, 19, 19, 6, , 
2021/10/1, 39, 28, 19, 8, , 
2021/4/2, 26, 14, 11, 7, , 
2021/4/3, 29, 17, 12, 9, 1, 
2021/4/4, 32, 16, 9, 9, 1, 
2021/4/5, 33, 18, 10, 10, , 
2021/4/6, 33, 22, 9, 10, 1, 
2021/4/7, 35, 17, 11, 9, 1, 
2021/4/8, 37, 19, 12, 8, , 
2021/4/9, 24, 23, 17, 12, 1, 
2021/4/10, 43, 29, 19, 14, 1, 
2021/4/11, 48, 37, 35, 18, 1, 
2021/4/12, 62, 34, 16, 13, 1, 
2021/4/13, 51, 15, 11, 8, , 
2021/4/14, 27, 22, 12, 9, , 
2021/4/15, 34, 24, 14, 11, , 
2021/4/16, 33, 35, 16, 14, , 
2021/4/17, 52, 35, 16, 13, 1, 
2021/4/18, 56, 13, 18, 8, , 
2021/4/19, 30, 10, 11, 6, , 
2021/4/20, 25, 13, 9, 8, , 
2021/4/21, 27, 15, 11, 7, , 
2021/4/22, 24, 14, 8, 10, , 
2021/4/23, 25, 16, 11, 8, 1, 
2021/4/24, 30, 11, 10, 6, , 
2021/4/25, 25, 27, 22, 13, , 
2021/4/26, 48, 27, 14, 14, 1, 
2021/4/27, 47, 16, 8, 11, , 
2021/4/28, 28, 21, 17, 7, 1, 
2021/4/29, 34, 16, 11, 12, , 
2021/4/30, 36, 20, 11, 11, , 
2021/5/1, 25, 28, 14, 12, 1, 
2021/5/2, 39, 32, 20, 13, , 
2021/5/3, 46, 36, 19, 16, 2, 
2021/5/4, 65, 34, 21, 17, 1, 
2021/5/5, 66, 49, 21, 16, , 
2021/5/6, 72, 35, 23, 13, 2, 
2021/5/7, 67, 5, 15, 5, , 
2021/5/8, 15, 11, 9, 11, , 
